lead_variant	distance	gene	chrom	start	end	extreme_pLI	brain_enriched_expression	neurodevelopmental_disorder	PsyOPS_score
rs61785969	199229	GMEB1	chr1	28995290	29045865	False	False	False	0.08273908370636998
rs61785969	222644	ATP5IF1	chr1	28562620	28573417	False	False	False	0.08273908370636998
rs61785969	236521	DNAJC8	chr1	28525967	28559540	False	False	False	0.08273908370636998
rs61785969	267072	YTHDF2	chr1	29063133	29096287	True	False	False	0.21161874440619363
rs61785969	268642	AL353354.2	chr1	28527070	28527419	False	False	False	0.08273908370636998
rs61785969	268909	AL353354.1	chr1	28527013	28527152	False	False	False	0.08273908370636998
rs61785969	275614	PTAFR	chr1	28473677	28520447	False	False	False	0.08273908370636998
rs61785969	342621	OPRD1	chr1	29138682	29197779	False	True	False	0.17679031224038508
rs61785969	380913	EYA3	chr1	28296855	28415148	True	False	False	0.21161874440619363
rs61785969	417542	EPB41	chr1	29213603	29446558	False	True	False	0.17679031224038508
rs12130117	4637	GMEB1	chr1	28995290	29045865	False	False	False	0.08273908370636998
rs12130117	15850	TAF12	chr1	28914341	28974803	False	False	False	0.08273908370636998
rs12130117	68692	RAB42	chr1	28918712	28921961	False	False	False	0.08273908370636998
rs12130117	72480	YTHDF2	chr1	29063133	29096287	True	False	False	0.21161874440619363
rs12130117	85596	TRNAU1AP	chr1	28879597	28905057	False	False	False	0.08273908370636998
rs12130117	124841	RCC1	chr1	28832455	28865812	False	False	False	0.08273908370636998
rs12130117	148029	OPRD1	chr1	29138682	29197779	False	True	False	0.17679031224038508
rs12130117	163777	PHACTR4	chr1	28696093	28826876	False	False	False	0.08273908370636998
rs12130117	222950	EPB41	chr1	29213603	29446558	False	True	False	0.17679031224038508
rs12130117	328177	MED18	chr1	28655513	28662476	False	False	False	0.08273908370636998
rs12130117	381651	SESN2	chr1	28586029	28609002	False	False	False	0.08273908370636998
rs12130117	417236	ATP5IF1	chr1	28562620	28573417	False	False	False	0.08273908370636998
rs12130117	431113	DNAJC8	chr1	28525967	28559540	False	False	False	0.08273908370636998
rs12130117	455288	TMEM200B	chr1	29445941	29450415	False	False	False	0.08273908370636998
rs12130117	463234	AL353354.2	chr1	28527070	28527419	False	False	False	0.08273908370636998
rs12130117	463501	AL353354.1	chr1	28527013	28527152	False	False	False	0.08273908370636998
rs12130117	470206	PTAFR	chr1	28473677	28520447	False	False	False	0.08273908370636998
rs12130117	483602	SRSF4	chr1	29474255	29508412	False	False	False	0.08273908370636998
rs9426298	4368	GMEB1	chr1	28995290	29045865	False	False	False	0.08273908370636998
rs9426298	16119	TAF12	chr1	28914341	28974803	False	False	False	0.08273908370636998
rs9426298	68961	RAB42	chr1	28918712	28921961	False	False	False	0.08273908370636998
rs9426298	72211	YTHDF2	chr1	29063133	29096287	True	False	False	0.21161874440619363
rs9426298	85865	TRNAU1AP	chr1	28879597	28905057	False	False	False	0.08273908370636998
rs9426298	125110	RCC1	chr1	28832455	28865812	False	False	False	0.08273908370636998
rs9426298	147760	OPRD1	chr1	29138682	29197779	False	True	False	0.17679031224038508
rs9426298	164046	PHACTR4	chr1	28696093	28826876	False	False	False	0.08273908370636998
rs9426298	222681	EPB41	chr1	29213603	29446558	False	True	False	0.17679031224038508
rs9426298	328446	MED18	chr1	28655513	28662476	False	False	False	0.08273908370636998
rs9426298	381920	SESN2	chr1	28586029	28609002	False	False	False	0.08273908370636998
rs9426298	417505	ATP5IF1	chr1	28562620	28573417	False	False	False	0.08273908370636998
rs9426298	431382	DNAJC8	chr1	28525967	28559540	False	False	False	0.08273908370636998
rs9426298	455019	TMEM200B	chr1	29445941	29450415	False	False	False	0.08273908370636998
rs9426298	463503	AL353354.2	chr1	28527070	28527419	False	False	False	0.08273908370636998
rs9426298	463770	AL353354.1	chr1	28527013	28527152	False	False	False	0.08273908370636998
rs9426298	470475	PTAFR	chr1	28473677	28520447	False	False	False	0.08273908370636998
rs9426298	483333	SRSF4	chr1	29474255	29508412	False	False	False	0.08273908370636998
rs12133192	0	OPRD1	chr1	29138682	29197779	False	True	False	0.17679031224038508
rs12133192	42853	YTHDF2	chr1	29063133	29096287	True	False	False	0.21161874440619363
rs12133192	74463	EPB41	chr1	29213603	29446558	False	True	False	0.17679031224038508
rs12133192	93275	GMEB1	chr1	28995290	29045865	False	False	False	0.08273908370636998
rs12133192	164337	TAF12	chr1	28914341	28974803	False	False	False	0.08273908370636998
rs12133192	217179	RAB42	chr1	28918712	28921961	False	False	False	0.08273908370636998
rs12133192	234083	TRNAU1AP	chr1	28879597	28905057	False	False	False	0.08273908370636998
rs12133192	273328	RCC1	chr1	28832455	28865812	False	False	False	0.08273908370636998
rs12133192	306801	TMEM200B	chr1	29445941	29450415	False	False	False	0.08273908370636998
rs12133192	312264	PHACTR4	chr1	28696093	28826876	False	False	False	0.08273908370636998
rs12133192	335115	SRSF4	chr1	29474255	29508412	False	False	False	0.08273908370636998
rs12133192	380029	MECR	chr1	29519169	29557454	False	False	False	0.08273908370636998
rs12133192	423888	PTPRU	chr1	29563028	29653325	False	False	False	0.08273908370636998
rs12133192	476664	MED18	chr1	28655513	28662476	False	False	False	0.08273908370636998
rs2236861	0	OPRD1	chr1	29138682	29197779	False	True	False	0.17679031224038508
rs2236861	43469	YTHDF2	chr1	29063133	29096287	True	False	False	0.21161874440619363
rs2236861	73847	EPB41	chr1	29213603	29446558	False	True	False	0.17679031224038508
rs2236861	93891	GMEB1	chr1	28995290	29045865	False	False	False	0.08273908370636998
rs2236861	164953	TAF12	chr1	28914341	28974803	False	False	False	0.08273908370636998
rs2236861	217795	RAB42	chr1	28918712	28921961	False	False	False	0.08273908370636998
rs2236861	234699	TRNAU1AP	chr1	28879597	28905057	False	False	False	0.08273908370636998
rs2236861	273944	RCC1	chr1	28832455	28865812	False	False	False	0.08273908370636998
rs2236861	306185	TMEM200B	chr1	29445941	29450415	False	False	False	0.08273908370636998
rs2236861	312880	PHACTR4	chr1	28696093	28826876	False	False	False	0.08273908370636998
rs2236861	334499	SRSF4	chr1	29474255	29508412	False	False	False	0.08273908370636998
rs2236861	379413	MECR	chr1	29519169	29557454	False	False	False	0.08273908370636998
rs2236861	423272	PTPRU	chr1	29563028	29653325	False	False	False	0.08273908370636998
rs2236861	477280	MED18	chr1	28655513	28662476	False	False	False	0.08273908370636998
rs4654375	0	OPRD1	chr1	29138682	29197779	False	True	False	0.17679031224038508
rs4654375	58546	YTHDF2	chr1	29063133	29096287	True	False	False	0.21161874440619363
rs4654375	58770	EPB41	chr1	29213603	29446558	False	True	False	0.17679031224038508
rs4654375	108968	GMEB1	chr1	28995290	29045865	False	False	False	0.08273908370636998
rs4654375	180030	TAF12	chr1	28914341	28974803	False	False	False	0.08273908370636998
rs4654375	232872	RAB42	chr1	28918712	28921961	False	False	False	0.08273908370636998
rs4654375	249776	TRNAU1AP	chr1	28879597	28905057	False	False	False	0.08273908370636998
rs4654375	289021	RCC1	chr1	28832455	28865812	False	False	False	0.08273908370636998
rs4654375	291108	TMEM200B	chr1	29445941	29450415	False	False	False	0.08273908370636998
rs4654375	319422	SRSF4	chr1	29474255	29508412	False	False	False	0.08273908370636998
rs4654375	327957	PHACTR4	chr1	28696093	28826876	False	False	False	0.08273908370636998
rs4654375	364336	MECR	chr1	29519169	29557454	False	False	False	0.08273908370636998
rs4654375	408195	PTPRU	chr1	29563028	29653325	False	False	False	0.08273908370636998
rs4654375	492357	MED18	chr1	28655513	28662476	False	False	False	0.08273908370636998
rs489272	0	OPRD1	chr1	29138682	29197779	False	True	False	0.17679031224038508
rs489272	58637	EPB41	chr1	29213603	29446558	False	True	False	0.17679031224038508
rs489272	58679	YTHDF2	chr1	29063133	29096287	True	False	False	0.21161874440619363
rs489272	109101	GMEB1	chr1	28995290	29045865	False	False	False	0.08273908370636998
rs489272	180163	TAF12	chr1	28914341	28974803	False	False	False	0.08273908370636998
rs489272	233005	RAB42	chr1	28918712	28921961	False	False	False	0.08273908370636998
rs489272	249909	TRNAU1AP	chr1	28879597	28905057	False	False	False	0.08273908370636998
rs489272	289154	RCC1	chr1	28832455	28865812	False	False	False	0.08273908370636998
rs489272	290975	TMEM200B	chr1	29445941	29450415	False	False	False	0.08273908370636998
rs489272	319289	SRSF4	chr1	29474255	29508412	False	False	False	0.08273908370636998
rs489272	328090	PHACTR4	chr1	28696093	28826876	False	False	False	0.08273908370636998
rs489272	364203	MECR	chr1	29519169	29557454	False	False	False	0.08273908370636998
rs489272	408062	PTPRU	chr1	29563028	29653325	False	False	False	0.08273908370636998
rs489272	492490	MED18	chr1	28655513	28662476	False	False	False	0.08273908370636998
rs2236856	0	OPRD1	chr1	29138682	29197779	False	True	False	0.17679031224038508
rs2236856	51778	EPB41	chr1	29213603	29446558	False	True	False	0.17679031224038508
rs2236856	65538	YTHDF2	chr1	29063133	29096287	True	False	False	0.21161874440619363
rs2236856	115960	GMEB1	chr1	28995290	29045865	False	False	False	0.08273908370636998
rs2236856	187022	TAF12	chr1	28914341	28974803	False	False	False	0.08273908370636998
rs2236856	239864	RAB42	chr1	28918712	28921961	False	False	False	0.08273908370636998
rs2236856	256768	TRNAU1AP	chr1	28879597	28905057	False	False	False	0.08273908370636998
rs2236856	284116	TMEM200B	chr1	29445941	29450415	False	False	False	0.08273908370636998
rs2236856	296013	RCC1	chr1	28832455	28865812	False	False	False	0.08273908370636998
rs2236856	312430	SRSF4	chr1	29474255	29508412	False	False	False	0.08273908370636998
rs2236856	334949	PHACTR4	chr1	28696093	28826876	False	False	False	0.08273908370636998
rs2236856	357344	MECR	chr1	29519169	29557454	False	False	False	0.08273908370636998
rs2236856	401203	PTPRU	chr1	29563028	29653325	False	False	False	0.08273908370636998
rs2236856	499349	MED18	chr1	28655513	28662476	False	False	False	0.08273908370636998
rs2236855	0	OPRD1	chr1	29138682	29197779	False	True	False	0.17679031224038508
rs2236855	51604	EPB41	chr1	29213603	29446558	False	True	False	0.17679031224038508
rs2236855	65712	YTHDF2	chr1	29063133	29096287	True	False	False	0.21161874440619363
rs2236855	116134	GMEB1	chr1	28995290	29045865	False	False	False	0.08273908370636998
rs2236855	187196	TAF12	chr1	28914341	28974803	False	False	False	0.08273908370636998
rs2236855	240038	RAB42	chr1	28918712	28921961	False	False	False	0.08273908370636998
rs2236855	256942	TRNAU1AP	chr1	28879597	28905057	False	False	False	0.08273908370636998
rs2236855	283942	TMEM200B	chr1	29445941	29450415	False	False	False	0.08273908370636998
rs2236855	296187	RCC1	chr1	28832455	28865812	False	False	False	0.08273908370636998
rs2236855	312256	SRSF4	chr1	29474255	29508412	False	False	False	0.08273908370636998
rs2236855	335123	PHACTR4	chr1	28696093	28826876	False	False	False	0.08273908370636998
rs2236855	357170	MECR	chr1	29519169	29557454	False	False	False	0.08273908370636998
rs2236855	401029	PTPRU	chr1	29563028	29653325	False	False	False	0.08273908370636998
rs2236855	499523	MED18	chr1	28655513	28662476	False	False	False	0.08273908370636998
rs12034163	0	CLSPN	chr1	36185819	36235579	False	False	False	0.08273908370636998
rs12034163	6535	C1orf216	chr1	36179478	36184495	False	True	False	0.17679031224038508
rs12034163	82587	AGO4	chr1	36273617	36323491	True	False	False	0.21161874440619363
rs12034163	83903	PSMB2	chr1	36065142	36107127	False	False	False	0.08273908370636998
rs12034163	130101	TFAP2E	chr1	36038915	36060929	False	True	False	0.17679031224038508
rs12034163	144379	AGO1	chr1	36335409	36396133	True	False	True	0.4804484139783801
rs12034163	158155	NCDN	chr1	36023074	36032875	True	True	False	0.3898977023687237
rs12034163	167479	KIAA0319L	chr1	35899093	36023551	False	False	False	0.08273908370636998
rs12034163	205289	AGO3	chr1	36396319	36538101	True	False	False	0.21161874440619363
rs12034163	303371	ZMYM4	chr1	35734310	35887659	True	False	False	0.21161874440619363
rs12034163	358665	TEKT2	chr1	36549695	36553876	False	False	False	0.08273908370636998
rs12034163	363463	ADPRS	chr1	36554493	36559533	False	False	False	0.08273908370636998
rs12034163	369810	COL8A2	chr1	36560840	36590823	False	False	False	0.08273908370636998
rs12034163	411141	TRAPPC3	chr1	36602171	36621654	False	False	False	0.08273908370636998
rs12034163	430150	MAP7D1	chr1	36621180	36646450	True	False	False	0.21161874440619363
rs12034163	499003	THRAP3	chr1	36690033	36770958	True	False	False	0.21161874440619363
rs1199036	0	MPL	chr1	43803489	43820137	False	False	False	0.08273908370636998
rs1199036	13247	CDC20	chr1	43824652	43828874	False	False	False	0.08273908370636998
rs1199036	17664	ELOVL1	chr1	43829069	43833745	False	True	False	0.17679031224038508
rs1199036	22626	TIE1	chr1	43766653	43788779	False	False	False	0.08273908370636998
rs1199036	38183	MED8	chr1	43849588	43855479	False	False	False	0.08273908370636998
rs1199036	44148	SZT2	chr1	43855553	43919918	False	False	False	0.08273908370636998
rs1199036	60117	C1orf210	chr1	43747548	43751288	False	False	False	0.08273908370636998
rs1199036	71732	TMEM125	chr1	43735654	43739673	False	False	False	0.08273908370636998
rs1199036	74798	EBNA1BP2	chr1	43629846	43736607	False	False	False	0.08273908370636998
rs1199036	91376	CFAP57	chr1	43638001	43720029	False	False	False	0.08273908370636998
rs1199036	105255	HYI	chr1	43916660	43919660	False	False	False	0.08273908370636998
rs1199036	179453	PTPRF	chr1	43990858	44089337	True	False	False	0.21161874440619363
rs1199036	189338	FAM183A	chr1	43610824	43622067	False	True	False	0.17679031224038508
rs1199036	304415	KDM4A	chr1	44115820	44171189	True	False	False	0.21161874440619363
rs1199036	360090	ST3GAL3	chr1	44171495	44396837	False	False	True	0.23708089352715983
rs1199036	386841	SLC2A1	chr1	43391024	43424564	True	False	True	0.4804484139783801
rs1199036	493257	ZNF691	chr1	43312244	43318148	False	False	False	0.08273908370636998
rs839995	0	MPL	chr1	43803489	43820137	False	False	False	0.08273908370636998
rs839995	9788	CDC20	chr1	43824652	43828874	False	False	False	0.08273908370636998
rs839995	14205	ELOVL1	chr1	43829069	43833745	False	True	False	0.17679031224038508
rs839995	26085	TIE1	chr1	43766653	43788779	False	False	False	0.08273908370636998
rs839995	34724	MED8	chr1	43849588	43855479	False	False	False	0.08273908370636998
rs839995	40689	SZT2	chr1	43855553	43919918	False	False	False	0.08273908370636998
rs839995	63576	C1orf210	chr1	43747548	43751288	False	False	False	0.08273908370636998
rs839995	75191	TMEM125	chr1	43735654	43739673	False	False	False	0.08273908370636998
rs839995	78257	EBNA1BP2	chr1	43629846	43736607	False	False	False	0.08273908370636998
rs839995	94835	CFAP57	chr1	43638001	43720029	False	False	False	0.08273908370636998
rs839995	101796	HYI	chr1	43916660	43919660	False	False	False	0.08273908370636998
rs839995	175994	PTPRF	chr1	43990858	44089337	True	False	False	0.21161874440619363
rs839995	192797	FAM183A	chr1	43610824	43622067	False	True	False	0.17679031224038508
rs839995	300956	KDM4A	chr1	44115820	44171189	True	False	False	0.21161874440619363
rs839995	356631	ST3GAL3	chr1	44171495	44396837	False	False	True	0.23708089352715983
rs839995	390300	SLC2A1	chr1	43391024	43424564	True	False	True	0.4804484139783801
rs839995	496716	ZNF691	chr1	43312244	43318148	False	False	False	0.08273908370636998
rs839764	0	ELOVL1	chr1	43829069	43833745	False	True	False	0.17679031224038508
rs839764	4500	CDC20	chr1	43824652	43828874	False	False	False	0.08273908370636998
rs839764	13237	MPL	chr1	43803489	43820137	False	False	False	0.08273908370636998
rs839764	16214	MED8	chr1	43849588	43855479	False	False	False	0.08273908370636998
rs839764	22179	SZT2	chr1	43855553	43919918	False	False	False	0.08273908370636998
rs839764	44595	TIE1	chr1	43766653	43788779	False	False	False	0.08273908370636998
rs839764	82086	C1orf210	chr1	43747548	43751288	False	False	False	0.08273908370636998
rs839764	83286	HYI	chr1	43916660	43919660	False	False	False	0.08273908370636998
rs839764	93701	TMEM125	chr1	43735654	43739673	False	False	False	0.08273908370636998
rs839764	96767	EBNA1BP2	chr1	43629846	43736607	False	False	False	0.08273908370636998
rs839764	113345	CFAP57	chr1	43638001	43720029	False	False	False	0.08273908370636998
rs839764	157484	PTPRF	chr1	43990858	44089337	True	False	False	0.21161874440619363
rs839764	211307	FAM183A	chr1	43610824	43622067	False	True	False	0.17679031224038508
rs839764	282446	KDM4A	chr1	44115820	44171189	True	False	False	0.21161874440619363
rs839764	338121	ST3GAL3	chr1	44171495	44396837	False	False	True	0.23708089352715983
rs839764	408810	SLC2A1	chr1	43391024	43424564	True	False	True	0.4804484139783801
rs839752	7	SZT2	chr1	43855553	43919918	False	False	False	0.08273908370636998
rs839752	67	MED8	chr1	43849588	43855479	False	False	False	0.08273908370636998
rs839752	21801	ELOVL1	chr1	43829069	43833745	False	True	False	0.17679031224038508
rs839752	26672	CDC20	chr1	43824652	43828874	False	False	False	0.08273908370636998
rs839752	35409	MPL	chr1	43803489	43820137	False	False	False	0.08273908370636998
rs839752	61114	HYI	chr1	43916660	43919660	False	False	False	0.08273908370636998
rs839752	66767	TIE1	chr1	43766653	43788779	False	False	False	0.08273908370636998
rs839752	104258	C1orf210	chr1	43747548	43751288	False	False	False	0.08273908370636998
rs839752	115873	TMEM125	chr1	43735654	43739673	False	False	False	0.08273908370636998
rs839752	118939	EBNA1BP2	chr1	43629846	43736607	False	False	False	0.08273908370636998
rs839752	135312	PTPRF	chr1	43990858	44089337	True	False	False	0.21161874440619363
rs839752	135517	CFAP57	chr1	43638001	43720029	False	False	False	0.08273908370636998
rs839752	233479	FAM183A	chr1	43610824	43622067	False	True	False	0.17679031224038508
rs839752	260274	KDM4A	chr1	44115820	44171189	True	False	False	0.21161874440619363
rs839752	315949	ST3GAL3	chr1	44171495	44396837	False	False	True	0.23708089352715983
rs839752	430982	SLC2A1	chr1	43391024	43424564	True	False	True	0.4804484139783801
rs839754	0	SZT2	chr1	43855553	43919918	False	False	False	0.08273908370636998
rs839754	431	MED8	chr1	43849588	43855479	False	False	False	0.08273908370636998
rs839754	22165	ELOVL1	chr1	43829069	43833745	False	True	False	0.17679031224038508
rs839754	27036	CDC20	chr1	43824652	43828874	False	False	False	0.08273908370636998
rs839754	35773	MPL	chr1	43803489	43820137	False	False	False	0.08273908370636998
rs839754	60750	HYI	chr1	43916660	43919660	False	False	False	0.08273908370636998
rs839754	67131	TIE1	chr1	43766653	43788779	False	False	False	0.08273908370636998
rs839754	104622	C1orf210	chr1	43747548	43751288	False	False	False	0.08273908370636998
rs839754	116237	TMEM125	chr1	43735654	43739673	False	False	False	0.08273908370636998
rs839754	119303	EBNA1BP2	chr1	43629846	43736607	False	False	False	0.08273908370636998
rs839754	134948	PTPRF	chr1	43990858	44089337	True	False	False	0.21161874440619363
rs839754	135881	CFAP57	chr1	43638001	43720029	False	False	False	0.08273908370636998
rs839754	233843	FAM183A	chr1	43610824	43622067	False	True	False	0.17679031224038508
rs839754	259910	KDM4A	chr1	44115820	44171189	True	False	False	0.21161874440619363
rs839754	315585	ST3GAL3	chr1	44171495	44396837	False	False	True	0.23708089352715983
rs839754	431346	SLC2A1	chr1	43391024	43424564	True	False	True	0.4804484139783801
rs6692611	0	HYI	chr1	43916660	43919660	False	False	False	0.08273908370636998
rs6692611	0	SZT2	chr1	43855553	43919918	False	False	False	0.08273908370636998
rs6692611	63934	MED8	chr1	43849588	43855479	False	False	False	0.08273908370636998
rs6692611	71445	PTPRF	chr1	43990858	44089337	True	False	False	0.21161874440619363
rs6692611	85668	ELOVL1	chr1	43829069	43833745	False	True	False	0.17679031224038508
rs6692611	90539	CDC20	chr1	43824652	43828874	False	False	False	0.08273908370636998
rs6692611	99276	MPL	chr1	43803489	43820137	False	False	False	0.08273908370636998
rs6692611	130634	TIE1	chr1	43766653	43788779	False	False	False	0.08273908370636998
rs6692611	168125	C1orf210	chr1	43747548	43751288	False	False	False	0.08273908370636998
rs6692611	179740	TMEM125	chr1	43735654	43739673	False	False	False	0.08273908370636998
rs6692611	182806	EBNA1BP2	chr1	43629846	43736607	False	False	False	0.08273908370636998
rs6692611	196407	KDM4A	chr1	44115820	44171189	True	False	False	0.21161874440619363
rs6692611	199384	CFAP57	chr1	43638001	43720029	False	False	False	0.08273908370636998
rs6692611	252082	ST3GAL3	chr1	44171495	44396837	False	False	True	0.23708089352715983
rs6692611	297346	FAM183A	chr1	43610824	43622067	False	True	False	0.17679031224038508
rs6692611	479579	ARTN	chr1	44398992	44402912	False	False	False	0.08273908370636998
rs6692611	493209	IPO13	chr1	44412622	44433694	True	False	False	0.21161874440619363
rs6692611	494849	SLC2A1	chr1	43391024	43424564	True	False	True	0.4804484139783801
rs114645329	0	PTPRF	chr1	43990858	44089337	True	False	False	0.21161874440619363
rs114645329	87390	SZT2	chr1	43855553	43919918	False	False	False	0.08273908370636998
rs114645329	87648	HYI	chr1	43916660	43919660	False	False	False	0.08273908370636998
rs114645329	108512	KDM4A	chr1	44115820	44171189	True	False	False	0.21161874440619363
rs114645329	151829	MED8	chr1	43849588	43855479	False	False	False	0.08273908370636998
rs114645329	164187	ST3GAL3	chr1	44171495	44396837	False	False	True	0.23708089352715983
rs114645329	173563	ELOVL1	chr1	43829069	43833745	False	True	False	0.17679031224038508
rs114645329	178434	CDC20	chr1	43824652	43828874	False	False	False	0.08273908370636998
rs114645329	187171	MPL	chr1	43803489	43820137	False	False	False	0.08273908370636998
rs114645329	218529	TIE1	chr1	43766653	43788779	False	False	False	0.08273908370636998
rs114645329	256020	C1orf210	chr1	43747548	43751288	False	False	False	0.08273908370636998
rs114645329	267635	TMEM125	chr1	43735654	43739673	False	False	False	0.08273908370636998
